"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"2689","48335",8558,0.629002103295162,6754,941,3381,863,191,2250,1106,-7.40677966101695,-7.45762711864407,-7.89830508474576,-7.91525423728814,12.3898305084746,12.8135593220339,11.4915254237288,11.5762711864407,8,8,6,5,1.5,2,2,1,18,21.5,17.5,19
"2690","48337",19409,0.484465969395641,18398,120,2111,891,1122,6873,3853,-24.271186440678,-23.7627118644068,-21.3728813559322,-20.6101694915254,36.8135593220339,34.1016949152542,30.5932203389831,28.6440677966102,22,23,15,13,6.5,4.5,3,3.5,64,53,51.5,47.5
"2691","48339",554445,0.495277259241223,479421,26178,131147,48846,17653,175170,127579,-755.067796610169,-725.525423728814,-692.35593220339,-657.389830508475,983.610169491525,901.220338983051,851.542372881356,766.474576271186,543,511,508,348,183.5,115,145.5,100,1566,1358.5,1127.5,984.5
"2692","48341",21801,0.52465483234714,15913,873,11973,5015,829,5797,3428,-19.3389830508475,-21,-21.0677966101695,-21.271186440678,33.8474576271186,32.9661016949153,31.8474576271186,33.4745762711864,23,21,18,18,8,8.5,5,8.5,40,38,41,43.5
"2693","48343",12424,0.481406954282035,8614,2948,1176,862,860,4188,2276,-16.7457627118644,-17.3050847457627,-16.6949152542373,-16.0847457627119,22.3389830508475,21.7457627118644,20.2542372881356,18.7627118644068,12,14,11,8,4,4,3.5,2.5,30.5,33.5,29,27
"2694","48345",1156,0.501730103806228,1000,19,224,137,59,406,214,-1.44067796610169,-1.79661016949153,-1.61016949152542,-1.76271186440678,2.76271186440678,3.05084745762712,2.86440677966102,3.05084745762712,1,2,2,2,0.5,1,1,1,4,3.5,3.5,4
"2695","48347",65558,0.478431312730712,49751,11677,12565,4130,5297,18607,10029,-59.9322033898305,-59.7966101694915,-55.8474576271186,-56.864406779661,87.5254237288136,81.6610169491525,81.4406779661017,73.4406779661017,69,48,40,25,15,12.5,14.5,11.5,123,117,112.5,88
"2696","48349",48583,0.490809542432538,36424,6312,13013,5847,2994,14403,11409,-75.4745762711864,-74.6271186440678,-71.3050847457627,-71.2881355932203,117.406779661017,111.135593220339,105.64406779661,93.2203389830509,83,65,84,43,11.5,11.5,13.5,11.5,181,173.5,148.5,125.5
"2697","48351",14057,0.514547912072277,10822,2776,497,459,966,4012,1296,-8.5593220338983,-9.15254237288136,-8.71186440677966,-9.45762711864407,21.5762711864407,21.1186440677966,20.2372881355932,20.5423728813559,8,8,7,5,4,3,3,3,18.5,21.5,14.5,13
"2698","48353",14966,0.512428170519845,13108,754,5527,1104,828,4641,2905,-25.0847457627119,-24.3220338983051,-22.7118644067797,-20.4745762711864,35.0847457627119,34.0508474576271,29.0508474576271,28.271186440678,14,18,9,15,3,2,2,2,52.5,48,36.5,35.5
"2699","48355",360486,0.493833325011235,324198,13620,228462,22668,20879,108047,91453,-395.915254237288,-420.169491525424,-423.169491525424,-441,552.016949152542,560.169491525424,538.898305084746,513.271186440678,227,243,191,130,82,81.5,61.5,50.5,616.5,622.5,618,543
"2700","48357",10348,0.505411673753382,9141,141,5564,1066,438,3005,1714,-8.76271186440678,-9.1864406779661,-8.03389830508475,-8.6271186440678,16.6949152542373,14.8135593220339,14.4406779661017,13.4067796610169,11,9,10,7,5,3,3,3,24,21.5,18.5,17
"2701","48359",2090,0.547846889952153,1902,102,353,86,55,472,479,-3.35593220338983,-3.32203389830508,-3.20338983050847,-3.11864406779661,5.22033898305085,4.91525423728814,4.93220338983051,4.71186440677966,3,3,3,3,1,1,1,1,7,6.5,6,6
"2702","48361",84047,0.495318095827335,73557,7116,6165,3374,4393,27596,19287,-137.576271186441,-134.135593220339,-134.932203389831,-133.220338983051,189.813559322034,187.966101694915,192.694915254237,184.203389830508,96,96,113,91,40,39,33,32.5,280.5,257,289.5,273.5
"2703","48363",28317,0.493943567468305,26054,628,5625,1635,1711,8601,6192,-45.1525423728814,-44.2033898305085,-41.7627118644068,-39.5593220338983,61.7966101694915,58.9491525423729,54.7796610169492,47.5932203389831,27,20,25,13,8,7,7,4.5,107,98.5,84.5,65
"2704","48365",23440,0.490529010238908,18983,4023,2013,434,1279,7548,3973,-26.3559322033898,-27.4067796610169,-26.728813559322,-25.4237288135593,37.3389830508475,35.135593220339,34.0169491525424,31.6610169491525,23,17,18,13,7,6,4,4,56,46,48,42.5
"2705","48367",129802,0.496510069182293,120953,1862,15562,6987,3893,40362,32733,-195.796610169492,-195.661016949153,-184.305084745763,-173.677966101695,261.694915254237,248.067796610169,217.559322033898,194.593220338983,169,191,88,67,50.5,40,33.5,24.5,404.5,404,364.5,365.5
"2706","48369",9852,0.513499796995534,8228,107,6201,1517,458,2860,1637,-10.4576271186441,-10.3728813559322,-10.0169491525424,-9.66101694915254,15.4406779661017,15.0169491525424,14.6271186440678,15.1186440677966,11,9,9,8,5,5,3,3,16,16.5,16.5,20
"2707","48371",15797,0.570361461036906,13078,578,10837,2141,661,3896,2499,-16.5254237288136,-15.9661016949153,-15.1016949152542,-13.6101694915254,29.8813559322034,29.1186440677966,28.2203389830508,25.9491525423729,17,20,16,16,6,7,5,8,47,47,43.5,36
"2708","48373",47837,0.540962016848883,40283,4945,7193,2609,3053,14750,8170,-61.6101694915254,-61.4237288135593,-59.2033898305085,-62.0847457627119,78.0847457627119,74.6779661016949,74.6949152542373,75.9152542372881,44,35,33,35,16.5,12,9.5,9.5,104,118.5,106.5,89
"2709","48375",120899,0.515264807814788,94415,11905,45905,14579,8280,35664,24652,-132.084745762712,-124.983050847458,-123.220338983051,-117.779661016949,238.593220338983,228.64406779661,195.050847457627,174.389830508475,156,140,111,81,26,33,30.5,20.5,401,354,276.5,217.5
"2710","48377",7123,0.490944826617998,6743,0,5956,380,872,1755,1127,-6.35593220338983,-6.22033898305085,-5.08474576271186,-5.33898305084746,14.5593220338983,13.3389830508475,15.9661016949153,14.0508474576271,6,5,5,5,2,1.5,2,2,14.5,16.5,15.5,15
"2711","48379",11473,0.511461692669746,10372,322,1019,779,544,3787,1929,-19.2033898305085,-18.6271186440678,-17.0847457627119,-15.6271186440678,23.135593220339,21.9152542372881,19.8983050847458,17.7627118644068,12,11,9,7,3.5,4,3,2,31,30.5,27.5,24.5
"2712","48381",132475,0.491285148141159,118502,3903,27678,10070,4105,45082,27710,-140.491525423729,-135.779661016949,-128.372881355932,-125.898305084746,244.28813559322,229.64406779661,205.35593220339,180,218,197,144,111,42,30,28,17,388.5,336.5,288,234.5
"2713","48383",3752,0.51998933901919,1538,27,2652,2187,131,1016,676,-5.47457627118644,-5.3728813559322,-5.32203389830508,-5.05084745762712,10.9661016949153,10.7627118644068,10.8474576271186,9.35593220338983,4,4,5,3,1,1.5,2,2,15,15,14,12.5
"2714","48385",3389,0.420773089406905,3355,5,672,29,267,960,669,-5.25423728813559,-5.40677966101695,-5.30508474576271,-5.79661016949153,7.72881355932203,7.57627118644068,7.61016949152542,7.86440677966102,3,3,5,3,1,1,1,1,13,13.5,11.5,13
"2715","48387",12275,0.48765784114053,9712,2080,902,483,1023,4025,1705,-14.3728813559322,-14.0508474576271,-13.4915254237288,-12.4745762711864,18.271186440678,18.2881355932203,17.0508474576271,15.4237288135593,11,10,8,8,3,4,4,2,27,29,26.5,24
"2716","48389",15125,0.574479338842975,11913,492,11352,2720,556,3157,4718,-35.9322033898305,-36.4915254237288,-36.2881355932203,-35.1694915254237,56.1694915254237,57.3050847457627,56.1525423728814,48.864406779661,40,35,41,35,10.5,12,9.5,9,80.5,86,73,68
"2717","48391",7236,0.495577667219458,5773,428,3631,1035,452,2125,1695,-10.7966101694915,-11.1864406779661,-11.7796610169492,-12.135593220339,14.5593220338983,14.9152542372881,15.1016949152542,14.3050847457627,8,8,8,5,2,2,3,2,19.5,21,15,15
"2718","48393",885,0.453107344632768,844,0,123,41,18,293,110,-1.05084745762712,-0.966101694915254,-0.949152542372881,-0.898305084745763,1.6271186440678,1.67796610169492,1.6271186440678,1.40677966101695,1,1,1,1,0,0.5,0,0,2,2,2,2
"2719","48395",16890,0.491178211959739,12934,3276,3481,680,955,5403,4451,-29.5762711864407,-29.0677966101695,-28.3559322033898,-27.6610169491525,36.1864406779661,35.6101694915254,36.0508474576271,34.2372881355932,21,15,14,13,6.5,5,5,3.5,38,38,36,31
"2720","48397",93642,0.493015954379445,80024,5685,16206,7933,1903,29746,24284,-133.35593220339,-133.779661016949,-134.271186440678,-121.745762711864,196.508474576271,194.35593220339,171.559322033898,158.118644067797,135,166,81,73,19.5,22.5,24.5,16,323,329,275.5,259
"2721","48399",10310,0.507565470417071,9506,317,3495,487,526,3223,2187,-14.7627118644068,-14.6271186440678,-14.9830508474576,-14.5932203389831,23.1694915254237,21.4067796610169,20.4745762711864,18.9661016949153,14,14,10,8,2.5,2.5,3,2,32.5,29.5,29,29.5
"2722","48401",53595,0.529508349659483,42148,9196,8855,2251,2409,15551,10578,-99.0508474576271,-99.0169491525424,-94.3898305084746,-90.135593220339,124.338983050847,122.237288135593,115.71186440678,107.593220338983,62,70,56,37,19,19,14.5,10,147.5,139.5,142,134.5
"2723","48403",10458,0.484987569324919,9376,653,455,429,749,3350,1272,-10.864406779661,-10.3898305084746,-10.0677966101695,-12.5932203389831,21.9152542372881,20.6610169491525,19.9322033898305,21.7118644067797,10,7,4,4,2,1,1,1,22.5,22.5,22,21
"2724","48405",8327,0.49057283535487,6119,1760,583,448,774,2582,989,-8.06779661016949,-8.05084745762712,-7.50847457627119,-7.6271186440678,11.4576271186441,11.4067796610169,10.3220338983051,10.6101694915254,7,6,5,6,2,2,2,2,17,17.5,15.5,13
"2725","48407",27819,0.493116215536144,23978,2917,3563,924,1271,8216,4358,-33.6271186440678,-32.8813559322034,-31.0338983050847,-28.4915254237288,40.0338983050847,37.5932203389831,36.0847457627119,31.7796610169492,18,18,13,10,6,4.5,6,3,58.5,53,50.5,36.5
"2726","48409",67046,0.502953196312979,61920,1124,38483,4002,3801,19320,9038,-53.0677966101695,-59.0508474576271,-56.2033898305085,-59.1016949152542,89.9152542372881,92.5084745762712,90.5762711864407,84.593220338983,50,39,38,32,24,18,16,12.5,121.5,120.5,138.5,100
"2727","48411",5962,0.515431063401543,5106,143,1790,713,280,1824,1337,-8.66101694915254,-8.61016949152542,-8.47457627118644,-7.91525423728814,15.135593220339,14.7457627118644,14.8813559322034,14.3220338983051,8,8,7,6,1,2,3,2.5,15,16.5,13.5,18.5
"2728","48413",3061,0.50375694217576,1871,13,1603,1177,189,916,404,-3.4406779661017,-3.1864406779661,-3.1864406779661,-3.11864406779661,7.54237288135593,7.49152542372881,7.38983050847458,6.3728813559322,4,2,4,3,1,1,1,0,9.5,9,8.5,7.5
"2729","48415",17239,0.546725448111839,15043,837,6917,1359,627,5257,3858,-21.1016949152542,-23.6440677966102,-21.0169491525424,-19.4576271186441,70.9322033898305,72.2881355932203,70.1694915254237,67.3898305084746,26,27,25,20,8,7.5,7,5,66.5,70,62,63
"2730","48417",3311,0.534581697372395,3181,6,385,124,188,1046,553,-4.59322033898305,-4.32203389830508,-4.08474576271186,-4.03389830508475,6.42372881355932,5.91525423728814,5.40677966101695,5.15254237288136,4,4,3,3,1,1.5,1,1,10,7.5,7,6
"2731","48419",25478,0.493445325378758,19850,4671,4605,957,2066,7226,3828,-25.271186440678,-24.6779661016949,-23.4067796610169,-23.0508474576271,37.9830508474576,38.7457627118644,37.1694915254237,32.6779661016949,26,29,27,19,7.5,8.5,8.5,5.5,56,54,49.5,41.5
"2732","48421",3058,0.514715500327011,2690,11,1302,357,133,922,420,-2.69491525423729,-2.79661016949153,-2.74576271186441,-2.64406779661017,3.98305084745763,3.64406779661017,3.83050847457627,4,2,2,2,2,1,1,1,1,5,4,4.5,5
"2733","48423",225015,0.483212230295758,172884,39321,43377,12810,11549,65646,47386,-413.677966101695,-407.186440677966,-373.677966101695,-354.457627118644,515.440677966102,491.084745762712,432.389830508475,395.64406779661,323,216,135,106,44,58,45.5,26.5,744.5,667,636,633.5
"2734","48425",8743,0.479469289717488,7946,54,1648,743,806,2433,1892,-13.0169491525424,-13.2372881355932,-12.9491525423729,-12.0508474576271,19.3559322033898,18.2203389830508,17.1525423728814,16.2881355932203,10,9,11,9,2,2,2,2,31.5,29,22.5,25.5
