"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"1905","37031",68920,0.490989553105049,61988,3880,2930,3052,3379,26311,11267,-53.0675647297014,-50.2837837837838,-45.3783783783784,-42.8918918918919,88.4999971621338,83.7972972972973,74.6756756756757,72.8918918918919,52.5,49.5,39.5,34.5,19,20,18.25,12,111.749842498425,102.5,76.25,70
"1906","37033",22746,0.500879275477007,14378,7503,867,865,1753,7357,4112,-16.027027027027,-14.972972972973,-13,-11.8513513513514,33.4054054054054,30.1891891891892,25.2972972972973,21.6081081081081,20,17.5,16,9.5,8,6,5,4,49.5,45.5,27,23.75
"1907","37035",156729,0.489398898736035,123876,12772,14810,20081,7870,53229,37390,-143.162162162162,-138.22972972973,-126.405405405405,-116.148648648649,263.081081081081,240.824324324324,205.027027027027,178.77027027027,175,179.5,124,90,68.5,70,48,31.5,368,298.25,240.5,186.25
"1908","37037",69791,0.479675029731627,56190,8073,8626,5528,3037,25490,8226,-21.2027027027027,-19.7567567567568,-18.527027027027,-17.5405405405405,64.0135135135135,55.4324324324324,51.9594594594595,47.8108108108108,40,33,32.5,27,22.25,15.5,13.25,7.25,86,80.75,66.75,64.75
"1909","37039",27668,0.490928148041058,25890,364,846,1414,1912,9983,6591,-38.2702702702703,-36.9594594594595,-33.6216216216216,-31.9324324324324,62.6756756756757,53.5,50.6486486486486,45.0405405405405,33,26,20,19,15,10,10,7,81.75,60.5,69.5,54.5
"1910","37041",14205,0.468356212601197,8606,4839,515,760,1057,4927,3052,-14.8513513513514,-13.8108108108108,-12.1351351351351,-11.3648648648649,28.2297297297297,25.5945945945946,21.1351351351351,18.7972972972973,18.5,15,12,9,5,5.25,3,4,47.5,31.75,25.75,20.75
"1911","37043",10813,0.47396652177934,10464,226,340,123,773,4289,2233,-14.8783783783784,-14.1621621621622,-12.7432432432432,-12.1081081081081,25.3378378378378,24.0540540540541,21.6081081081081,18.6756756756757,18,18,15.5,11,7.25,8,5.25,4.25,35.75,33.5,28,25.75
"1912","37045",97159,0.482261036033718,72778,20244,3317,4137,7466,29416,23972,-112.797297297297,-105.756756756757,-95.7702702702703,-89.2027027027027,182.310810810811,163.189189189189,139.77027027027,119.148648648649,90,68.5,54.5,42,30.25,42.25,22.25,19,313.25,235.25,184.75,118.5
"1913","37047",56293,0.497060025225161,34898,17396,2941,3999,5135,17171,13871,-55.1216216216216,-53.9324324324324,-50.7702702702703,-47.0810810810811,116.986486486486,107.797297297297,90.2837837837838,77.054054054054,74,56.5,40,28,21.5,17,13.75,13.25,185.5,179.25,140.5,106.25
"1914","37049",103082,0.506839215381929,72467,22362,7404,8253,5600,35271,18768,-85.3513513513514,-79.8378378378378,-71.2432432432432,-65.6621621621622,149.054054054054,133.810810810811,120.351351351351,103.148648648649,77.5,58.5,60.5,47,34.75,25.75,18.25,23,202,175.75,152.5,102.75
"1915","37051",332106,0.497287010773669,167727,122504,37826,41875,20870,103548,63362,-235.027027027027,-232.148648648649,-221.824324324324,-213.027027027027,417.162162162162,371.283783783784,344.418918918919,306.486486486487,324.5,271,199,177.5,127.25,84,87.25,56,610.25,545.25,508.25,422.5
"1916","37053",25796,0.497053806791751,23258,1473,981,1065,1013,9135,3718,-20.0675675675676,-18.7702702702703,-17.027027027027,-15.3918918918919,33.3648648648649,30.5810810810811,26.4864864864865,21.6891891891892,17.5,16,11.5,9,6,7.25,6,3,49,42.75,36.75,23
"1917","37055",35741,0.492823368120646,33092,779,2567,1870,1246,14195,5341,-26.8108108108108,-25.7837837837838,-23.6216216216216,-22.3918918918919,46.5135135135135,41.4594594594595,36.5675675675676,30.5810810810811,26.5,26,18.5,14,10.25,8,8,5.25,76.25,68.5,50.25,30.75
"1918","37057",164664,0.488922897536802,141056,14970,11516,8638,9700,55771,34252,-155.621621621622,-148.675675675676,-135.72972972973,-123.648648648649,271.648648648649,241.702702702703,206.702702702703,174.567567567568,163.5,132.5,94.5,74.5,56.25,45.75,35,29,440.5,318,240.25,197.5
"1919","37059",41991,0.485199209354385,37492,2305,2796,2194,1871,14128,8494,-34.8783783783784,-32.9189189189189,-29.8648648648649,-27.8378378378378,60.6351351351351,53.8918918918919,48.6486486486486,43.3783783783784,34.5,31.5,22,24.5,18,14.25,14,9.25,85,68.5,58,38
